codRegiao,NomRegiao
4102,Sul
4304,Sul
4202,Sul
4103,Sul
,Sul
4106,Sul
4105,Sul
4201,Sul
4110,Sul
4205,Sul
4307,Sul
4203,Sul
4109,Sul
4108,Sul
4206,Sul
4104,Sul
4305,Sul
4306,Sul
4301,Sul
4204,Sul
4101,Sul
4302,Sul
4303,Sul
4107,Sul
,Norte
1402,Norte
1701,Norte
1302,Norte
1702,Norte
1501,Norte
1504,Norte
1201,Norte
1102,Norte
1304,Norte
1301,Norte
1506,Norte
1303,Norte
1503,Norte
1101,Norte
1202,Norte
1502,Norte
1401,Norte
1602,Norte
1505,Norte
1601,Norte
3112,Sudeste
3102,Sudeste
3514,Sudeste
3110,Sudeste
3504,Sudeste
3105,Sudeste
3305,Sudeste
3501,Sudeste
3203,Sudeste
3204,Sudeste
3101,Sudeste
3109,Sudeste
3201,Sudeste
3202,Sudeste
3104,Sudeste
3509,Sudeste
3303,Sudeste
3111,Sudeste
3306,Sudeste
3507,Sudeste
3511,Sudeste
3515,Sudeste
3103,Sudeste
3505,Sudeste
3502,Sudeste
3302,Sudeste
3512,Sudeste
3510,Sudeste
3513,Sudeste
3506,Sudeste
,Sudeste
3304,Sudeste
3106,Sudeste
3508,Sudeste
3108,Sudeste
3301,Sudeste
3503,Sudeste
3107,Sudeste
2303,Nordeste
2201,Nordeste
2101,Nordeste
2605,Nordeste
2404,Nordeste
2701,Nordeste
2502,Nordeste
2104,Nordeste
2904,Nordeste
2905,Nordeste
,Nordeste
2307,Nordeste
2802,Nordeste
2302,Nordeste
2202,Nordeste
2304,Nordeste
2401,Nordeste
2105,Nordeste
2906,Nordeste
2902,Nordeste
2601,Nordeste
2306,Nordeste
2903,Nordeste
2702,Nordeste
2604,Nordeste
2504,Nordeste
2204,Nordeste
2403,Nordeste
2203,Nordeste
2901,Nordeste
2703,Nordeste
2503,Nordeste
2603,Nordeste
2602,Nordeste
2402,Nordeste
2501,Nordeste
2305,Nordeste
2907,Nordeste
2301,Nordeste
2801,Nordeste
2803,Nordeste
2103,Nordeste
2102,Nordeste
5204,Centro Oeste
5103,Centro Oeste
5004,Centro Oeste
5202,Centro Oeste
5104,Centro Oeste
5101,Centro Oeste
5003,Centro Oeste
5205,Centro Oeste
5102,Centro Oeste
5001,Centro Oeste
5105,Centro Oeste
5203,Centro Oeste
,Centro Oeste
5002,Centro Oeste
5201,Centro Oeste
5301,Centro Oeste